freq [Hz],power [dBm]
9000.0,17.6618449
126539428.57142857,17.4119048
253069857.14285713,17.8614991
379600285.71428573,19.4304022
506130714.28571427,19.4135741
632661142.8571428,19.5902709
759191571.4285715,19.7127874
885722000.0,19.6998796
1012252428.5714285,19.7916774
1138782857.142857,19.7814363
1265313285.7142856,19.6073294
1391843714.2857141,19.3545557
1518374142.857143,19.1894192
1644904571.4285715,18.7266307
1771435000.0,18.5721027
1897965428.5714285,18.5448451
2024495857.142857,18.4628763
2151026285.714286,18.4564805
2277556714.285714,18.2547738
2404087142.857143,18.5250407
2530617571.428571,18.674809
2657148000.0,18.1196817
2783678428.5714283,18.0711225
2910208857.142857,18.3729394
3036739285.714286,20.338334
3163269714.285714,20.2135314
3289800142.857143,20.550873
3416330571.428571,20.9265141
3542861000.0,20.6970659
3669391428.5714283,20.6622728
3795921857.142857,21.1882123
3922452285.7142854,21.3038503
4048982714.285714,21.3397801
4175513142.857143,21.488325
4302043571.428572,21.1282053
4428574000.0,20.9330935
4555104428.571428,20.969711
4681634857.142857,20.3623237
4808165285.714286,20.0690434
4934695714.285714,19.9601217
5061226142.857142,19.8328318
5187756571.428572,19.0894761
5314287000.0,19.0197809
5440817428.571428,18.7348408
5567347857.142857,18.1226905
5693878285.714286,18.0004912
5820408714.285714,18.2232886
5946939142.857142,18.2473765
6073469571.428572,18.1106129
6200000000.0,18.3131397
