freq [Hz],power [dBm]
10040867346.938776,8.79836242
10459232653.061224,8.83999209
10877597959.183674,8.84873177
11295963265.306122,8.87590533
11714328571.428572,8.96761158
12132693877.55102,8.65739922
12551059183.67347,8.55544885
12969424489.795918,8.68214987
13387789795.918367,8.25807245
13806155102.040817,8.79834589
14224520408.163265,8.5477107
14642885714.285715,8.18783941
15061251020.408163,8.67449254
15479616326.530613,8.42166941
15897981632.65306,8.01401138
16316346938.77551,8.20709443
16734712244.897959,8.20860258
17153077551.020409,7.638222
17571442857.142857,8.28034808
17989808163.265305,8.16221604
18408173469.387756,7.82326834
18826538775.510204,8.62039977
19244904081.632652,8.17206662
19663269387.7551,8.17622263
20081634693.877552,8.48138922
20500000000.0,8.37758966
100000.0,8.23641053
418465306.122449,9.14993545
836830612.244898,9.34797058
1255195918.367347,9.0260812
1673561224.489796,8.98931644
2091926530.6122448,8.50015855
2510291836.734694,9.26595932
2928657142.857143,8.10562686
3347022448.979592,8.37613908
3765387755.102041,8.15907875
4183753061.2244897,7.92756712
4602118367.346939,8.42115805
5020483673.469388,8.50003543
5438848979.591837,8.88205404
5857214285.714286,8.80171084
6275579591.836735,8.57853042
6693944897.959184,8.56016255
7112310204.081633,8.67022084
7530675510.204082,8.59330929
7949040816.32653,8.71773701
8367406122.448979,8.76201004
8785771428.571428,8.73942376
9204136734.693878,8.63607678
9622502040.816326,8.85823258
10040867346.938776,8.80432274
10459232653.061224,8.82939616
10877597959.183674,8.8239538
11295963265.306122,8.88326381
11714328571.428572,8.93985764
12132693877.55102,8.6056572
12551059183.67347,8.48411038
12969424489.795918,8.63283225
13387789795.918367,8.22772855
13806155102.040817,8.76296521
14224520408.163265,8.51294866
14642885714.285715,8.13369957
15061251020.408163,8.60328008
15479616326.530613,8.37019208
15897981632.65306,7.97858988
16316346938.77551,8.17194246
16734712244.897959,8.19685106
17153077551.020409,7.61435743
17571442857.142857,8.23121084
17989808163.265305,8.11906193
18408173469.387756,7.77411729
18826538775.510204,8.58536807
19244904081.632652,8.11335753
19663269387.7551,8.12364373
20081634693.877552,8.45022845
20500000000.0,8.33830172
100000.0,8.22478129
418465306.122449,9.15757605
836830612.244898,9.31110136
1255195918.367347,9.10435921
1673561224.489796,8.9960991
2091926530.6122448,8.66001398
2510291836.734694,8.18687424
2928657142.857143,8.23656168
3347022448.979592,8.39949573
3765387755.102041,7.90227797
4183753061.2244897,7.81552288
4602118367.346939,8.42778805
5020483673.469388,8.89770625
5438848979.591837,8.81806471
5857214285.714286,8.82826479
6275579591.836735,8.5986314
6693944897.959184,8.58300812
7112310204.081633,8.80417359
7530675510.204082,8.59170526
7949040816.32653,8.7238754
8367406122.448979,8.76480208
8785771428.571428,8.74252616
9204136734.693878,8.62507184
9622502040.816326,8.86013609
10040867346.938776,8.79799916
10459232653.061224,8.84259955
10877597959.183674,8.81009244
11295963265.306122,8.87172688
11714328571.428572,8.94187382
12132693877.55102,8.60903658
12551059183.67347,8.51145342
12969424489.795918,8.65100991
13387789795.918367,8.21712679
13806155102.040817,8.76977838
14224520408.163265,8.53967965
14642885714.285715,8.15157861
15061251020.408163,8.62959112
15479616326.530613,8.38144006
15897981632.65306,7.98650576
16316346938.77551,8.18346221
16734712244.897959,8.20095314
17153077551.020409,7.63126031
17571442857.142857,8.26643449
17989808163.265305,8.12305678
18408173469.387756,7.79385184
18826538775.510204,8.60843675
19244904081.632652,8.16688674
19663269387.7551,8.1359669
20081634693.877552,8.46077985
20500000000.0,8.36086386
100000.0,8.26442971
418465306.122449,9.13952881
836830612.244898,9.58075658
1255195918.367347,9.09643608
1673561224.489796,9.43020679
2091926530.6122448,8.64169848
2510291836.734694,8.28761428
2928657142.857143,8.17747786
3347022448.979592,8.33696163
3765387755.102041,7.96374132
4183753061.2244897,7.89083632
4602118367.346939,8.95853316
5020483673.469388,8.51129415
5438848979.591837,8.82722003
5857214285.714286,8.91222528
6275579591.836735,8.60971961
6693944897.959184,8.52294945
7112310204.081633,8.64803771
7530675510.204082,8.73494731
7949040816.32653,8.69027579
8367406122.448979,8.77003314
8785771428.571428,8.72270291
9204136734.693878,8.61413467
9622502040.816326,8.849983
10040867346.938776,8.75801931
10459232653.061224,8.85166673
10877597959.183674,8.83672223
11295963265.306122,8.86225531
11714328571.428572,8.91273029
12132693877.55102,8.58885171
12551059183.67347,8.4930414
12969424489.795918,8.62894338
13387789795.918367,8.18335037
13806155102.040817,8.71061304
14224520408.163265,8.47009432
14642885714.285715,8.11616979
15061251020.408163,8.60838214
15479616326.530613,8.35012337
15897981632.65306,7.96463425
16316346938.77551,8.1541033
16734712244.897959,8.17211591
17153077551.020409,7.61860918
17571442857.142857,8.24311173
17989808163.265305,8.08622547
18408173469.387756,7.75571526
18826538775.510204,8.57764185
19244904081.632652,8.1146807
19663269387.7551,8.11716795
20081634693.877552,8.42677337
20500000000.0,8.33513543
100000.0,8.236952
418465306.122449,9.12738266
836830612.244898,9.33471267
1255195918.367347,9.08239134
1673561224.489796,9.01692193
2091926530.6122448,8.56678162
2510291836.734694,9.26479389
2928657142.857143,8.17012319
3347022448.979592,9.2530949
3765387755.102041,7.96271825
4183753061.2244897,9.02460401
4602118367.346939,8.36383077
5020483673.469388,8.88252674
5438848979.591837,8.79605808
5857214285.714286,8.80212655
6275579591.836735,8.56644967
6693944897.959184,8.71541285
7112310204.081633,8.68761544
7530675510.204082,8.60575868
7949040816.32653,8.68180033
8367406122.448979,8.74654681
8785771428.571428,8.69540755
9204136734.693878,8.64219504
9622502040.816326,8.81565313
10040867346.938776,8.74507264
10459232653.061224,8.82806932
10877597959.183674,8.84822479
11295963265.306122,8.87074131
11714328571.428572,8.92582686
12132693877.55102,8.59241227
12551059183.67347,8.4769614
12969424489.795918,8.61479242
13387789795.918367,8.18500992
13806155102.040817,8.73302277
14224520408.163265,8.49665504
14642885714.285715,8.12294524
15061251020.408163,8.632863
15479616326.530613,8.36098067
15897981632.65306,7.97776779
16316346938.77551,8.16141255
16734712244.897959,8.19813434
17153077551.020409,7.62689904
17571442857.142857,8.24625918
17989808163.265305,8.09469201
18408173469.387756,7.76304305
18826538775.510204,8.60204415
19244904081.632652,8.13803589
19663269387.7551,8.12924317
20081634693.877552,8.44498912
20500000000.0,8.34710832
100000.0,8.10462323
418465306.122449,9.14976819
836830612.244898,9.30335363
1255195918.367347,9.08402681
1673561224.489796,8.88677845
2091926530.6122448,8.48785206
2510291836.734694,8.13326846
2928657142.857143,9.24775279
3347022448.979592,8.36885915
3765387755.102041,7.93582239
4183753061.2244897,7.67778945
4602118367.346939,8.39229647
5020483673.469388,8.5162592
5438848979.591837,8.79676675
5857214285.714286,8.79814559
6275579591.836735,8.59106107
6693944897.959184,8.56694224
7112310204.081633,8.66579069
7530675510.204082,8.59460835
7949040816.32653,8.72618337
8367406122.448979,8.77038774
8785771428.571428,8.71111484
9204136734.693878,8.67184447
9622502040.816326,8.84360156
10040867346.938776,8.78795491
10459232653.061224,8.83813047
10877597959.183674,8.8270261
11295963265.306122,8.86804073
11714328571.428572,8.93751044
12132693877.55102,8.60578767
12551059183.67347,8.52908207
12969424489.795918,8.64045436
13387789795.918367,8.18973841
13806155102.040817,8.74608904
14224520408.163265,8.50158858
14642885714.285715,8.09652778
15061251020.408163,8.60579018
15479616326.530613,8.37096198
15897981632.65306,7.9817608
16316346938.77551,8.16727196
16734712244.897959,8.17542327
17153077551.020409,7.61980721
17571442857.142857,8.25039657
17989808163.265305,8.08856075
18408173469.387756,7.77696056
18826538775.510204,8.5999741
19244904081.632652,8.1237079
19663269387.7551,8.11486112
20081634693.877552,8.44480512
20500000000.0,8.36472263
100000.0,8.12853625
418465306.122449,9.14540943
836830612.244898,9.35471767
1255195918.367347,9.05710271
1673561224.489796,8.99682274
2091926530.6122448,8.61806823
2510291836.734694,8.24146938
2928657142.857143,9.24467548
3347022448.979592,8.43223754
3765387755.102041,7.98602282
4183753061.2244897,7.81860555
4602118367.346939,8.3521017
5020483673.469388,8.48295765
5438848979.591837,8.80439145
5857214285.714286,8.7964159
6275579591.836735,8.62456694
6693944897.959184,8.55885286
7112310204.081633,8.82592565
7530675510.204082,8.61193257
7949040816.32653,8.72074851
8367406122.448979,8.77372561
8785771428.571428,8.75476713
9204136734.693878,8.63106287
9622502040.816326,8.8408373
10040867346.938776,8.78725309
10459232653.061224,8.86626645
10877597959.183674,8.85139248
11295963265.306122,8.87154436
11714328571.428572,8.93732189
12132693877.55102,8.59296929
12551059183.67347,8.48338609
12969424489.795918,8.60834843
13387789795.918367,8.18283904
13806155102.040817,8.73181754
14224520408.163265,8.47917846
14642885714.285715,8.09893397
15061251020.408163,8.59287981
15479616326.530613,8.35352251
15897981632.65306,7.97378595
16316346938.77551,8.16884888
16734712244.897959,8.19483964
17153077551.020409,7.6189829
17571442857.142857,8.29245567
17989808163.265305,8.10106076
18408173469.387756,7.79396846
18826538775.510204,8.6183668
19244904081.632652,8.15137092
19663269387.7551,8.1357305
20081634693.877552,8.44705715
20500000000.0,8.36550971
100000.0,9.31435649
418465306.122449,8.9739764
836830612.244898,9.21351717
1255195918.367347,9.10155115
1673561224.489796,9.08337949
2091926530.6122448,8.52336828
2510291836.734694,8.27400326
2928657142.857143,8.21343149
3347022448.979592,8.37377908
3765387755.102041,7.90591059
4183753061.2244897,7.86764609
4602118367.346939,8.41629852
5020483673.469388,8.49605378
5438848979.591837,8.84043109
5857214285.714286,8.81547063
6275579591.836735,8.68662906
6693944897.959184,8.61087983
7112310204.081633,8.68143212
7530675510.204082,8.73537324
7949040816.32653,8.73200061
8367406122.448979,8.76646354
8785771428.571428,8.72672947
9204136734.693878,8.63648345
9622502040.816326,8.85047422
10040867346.938776,8.79995911
10459232653.061224,8.85433091
10877597959.183674,8.83601292
11295963265.306122,8.88520683
11714328571.428572,8.92419677
12132693877.55102,8.59639013
12551059183.67347,8.50229956
12969424489.795918,8.64474547
13387789795.918367,8.20107739
13806155102.040817,8.72771763
14224520408.163265,8.50381765
14642885714.285715,8.10764626
15061251020.408163,8.61360513
15479616326.530613,8.36982003
15897981632.65306,7.98668388
16316346938.77551,8.17339943
16734712244.897959,8.1922217
17153077551.020409,7.64714278
17571442857.142857,8.29244937
17989808163.265305,8.11364793
18408173469.387756,7.79639336
18826538775.510204,8.62368913
19244904081.632652,8.15674307
19663269387.7551,8.15446274
20081634693.877552,8.4856208
20500000000.0,8.38641614
100000.0,8.2129713
418465306.122449,9.15154273
836830612.244898,9.32572932
1255195918.367347,9.40292545
1673561224.489796,9.00596241
2091926530.6122448,9.36461198
2510291836.734694,8.10624151
2928657142.857143,8.13293772
3347022448.979592,8.3706315
3765387755.102041,7.93340122
4183753061.2244897,7.87941091
4602118367.346939,8.37112766
5020483673.469388,8.48737765
5438848979.591837,8.82021252
5857214285.714286,8.79342839
6275579591.836735,8.629163
6693944897.959184,8.57924519
7112310204.081633,8.65725045
7530675510.204082,8.60683802
7949040816.32653,8.69944093
8367406122.448979,8.73510724
8785771428.571428,8.72012563
9204136734.693878,8.62186797
9622502040.816326,8.84899644
10040867346.938776,8.79828961
10459232653.061224,8.83365837
10877597959.183674,8.83685811
11295963265.306122,8.87769479
11714328571.428572,8.90644591
12132693877.55102,8.59042938
12551059183.67347,8.4822108
12969424489.795918,8.59942579
13387789795.918367,8.15557554
13806155102.040817,8.6956719
14224520408.163265,8.45292992
14642885714.285715,8.09061791
15061251020.408163,8.59458963
15479616326.530613,8.3551886
15897981632.65306,7.95995913
16316346938.77551,8.14052688
16734712244.897959,8.16989573
17153077551.020409,7.59638688
17571442857.142857,8.26356226
17989808163.265305,8.09509873
18408173469.387756,7.76240529
18826538775.510204,8.59875594
19244904081.632652,8.14140964
19663269387.7551,8.11530374
20081634693.877552,8.43568032
20500000000.0,8.3829015
