freq [Hz],power [dBm]
100000.0,8.30435329
418465306.122449,9.13587737
836830612.244898,9.33374567
1255195918.367347,9.09694751
1673561224.489796,9.45090601
2091926530.6122448,8.60203076
2510291836.734694,8.27033046
2928657142.857143,8.22947795
3347022448.979592,8.39628043
3765387755.102041,7.98176337
4183753061.2244897,7.87560367
4602118367.346939,8.44252123
5020483673.469388,8.53367111
5438848979.591837,8.79325991
5857214285.714286,8.78871622
6275579591.836735,8.6114047
6693944897.959184,8.57645642
7112310204.081633,8.67777383
7530675510.204082,8.61446884
7949040816.32653,8.72613972
8367406122.448979,8.82530336
8785771428.571428,8.75399365
9204136734.693878,8.66002114
9622502040.816326,8.90044681
10040867346.938776,8.78302108
10459232653.061224,8.85764279
10877597959.183674,8.8535194
11295963265.306122,8.86841418
11714328571.428572,8.97958659
12132693877.55102,8.67379767
12551059183.67347,8.58419372
12969424489.795918,8.72646077
13387789795.918367,8.30320565
13806155102.040817,8.84716531
14224520408.163265,8.61598606
14642885714.285715,8.22397377
15061251020.408163,8.70251094
15479616326.530613,8.42909169
15897981632.65306,8.01297325
16316346938.77551,8.23126129
16734712244.897959,8.23048233
17153077551.020409,7.65367088
17571442857.142857,8.26321023
17989808163.265305,8.18759261
18408173469.387756,7.80801887
18826538775.510204,8.62150576
19244904081.632652,8.16144776
19663269387.7551,8.19185279
20081634693.877552,8.51640918
20500000000.0,8.40250123
100000.0,9.3400092
418465306.122449,9.02320483
836830612.244898,9.23080729
1255195918.367347,9.03781855
1673561224.489796,8.98566723
2091926530.6122448,8.79548808
2510291836.734694,8.24228123
2928657142.857143,8.09173463
3347022448.979592,8.38734911
3765387755.102041,7.94574349
4183753061.2244897,7.85519189
4602118367.346939,8.42956874
5020483673.469388,8.48175327
5438848979.591837,8.81097991
5857214285.714286,8.79857551
6275579591.836735,8.62764373
6693944897.959184,8.58224716
7112310204.081633,8.69577566
7530675510.204082,8.60800627
7949040816.32653,8.72295149
8367406122.448979,8.77878386
8785771428.571428,8.75754336
9204136734.693878,8.65686803
9622502040.816326,8.86852965
